kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
土,THỔ,Đất,"soil, earth, ground, Turkey",N5,ド、ト,つち,3,⼟,つち,earth,Cắm cây thập (十) xuống 1 (一) mảnh đất (土),2,千,上
日,NHẬT,Ngày (mặt trời),"day, sun, Japan, counter for days",N5,ニチ、ジツ,ひ、か,4,⽇,ひ,"sun, day, time","Mặt trời giống Hình Chữ Nhật (ロ), bị chia làm đôi (一), nửa trên là Ngày (日), nửa dưới là đêm",1,六,目
語,NGỮ,Ngôn ngữ,"word, speech, language",N4,ゴ,かた、かたる,14,,ごんべん,"words, to speak, say",Lời nói (言) của ta (吾)là ngôn ngữ (語),1,政,部
